Керівник:Сергієнко; 5; 800; 40; 32000
-Програміст:Іваненко; 2; 600; 30; 18000; 25
-Програміст:Петренко; 3; 700; 35; 24500; 32
-Програміст:Коваленко; 1; 500; 25; 12500; 20
-Програміст:Бондаренко; 4; 900; 45; 40500; 40
-Програміст:Ткаченко; 2; 600; 30; 18000; 28
-Програміст:Шевченко; 3; 700; 35; 24500; 35
-Програміст:Ковальчук; 1; 500; 25; 12500; 22
-Програміст:Мельник; 4; 900; 45; 40500; 42
-Програміст:Бойко; 3; 700; 35; 24500; 30
Керівник:Лисенко; 8; 1000; 50; 50000
-Програміст:Савченко; 5; 800; 40; 32000; 38
-Програміст:Марченко; 3; 700; 35; 24500; 32
-Програміст:Левченко; 7; 950; 47; 44650; 45
-Програміст:Кравченко; 6; 850; 42; 35700; 40
-Програміст:Богданенко; 2; 600; 30; 18000; 25
-Програміст:Романченко; 4; 900; 45; 40500; 43
-Програміст:Грищенко; 5; 800; 40; 32000; 37
-Програміст:Масленко; 4; 900; 45; 40500; 41
-Програміст:Павленко; 3; 700; 35; 24500; 31
-Програміст:Борисенко; 5; 800; 40; 32000; 36
Керівник:Коваленко; 3; 700; 35; 24500
-Програміст:Мельниченко; 2; 600; 30; 18000; 28
-Програміст:Сидоренко; 4; 900; 45; 40500; 40
-Програміст:Кузьменко; 1; 500; 25; 12500; 20
-Програміст:Ткаченко; 3; 700; 35; 24500; 33
-Програміст:Петренко; 4; 900; 45; 40500; 42
-Програміст:Шевченко; 2; 600; 30; 18000; 26
-Програміст:Литвиненко; 5; 800; 40; 32000; 35
-Програміст:Павленко; 3; 700; 35; 24500; 30
-Програміст:Богданенко; 4; 900; 45; 40500; 38
Керівник:Мельничук; 6; 850; 42; 35700
-Програміст:Сергієнко; 5; 800; 40; 32000; 38
-Програміст:Іваненко; 3; 700; 35; 24500; 32
-Програміст:Коваленко; 1; 500; 25; 12500; 20
-Програміст:Мельник; 4; 900; 45; 40500; 42
-Програміст:Бондаренко; 2; 600; 30; 18000; 26
-Програміст:Ткаченко; 3; 700; 35; 24500; 32
-Програміст:Шевченко; 4; 900; 45; 40500; 40
-Програміст:Ковальчук; 2; 600; 30; 18000; 25
-Програміст:Бойко; 5; 800; 40; 32000; 35
-Програміст:Грищенко; 4; 900; 45; 40500; 39
Керівник:Савчук; 4; 900; 45; 40500
-Програміст:Сидоренко; 2; 600; 30; 18000; 28
-Програміст:Марченко; 3; 700; 35; 24500; 32
-Програміст:Левченко; 5; 800; 40; 32000; 37
-Програміст:Кравченко; 4; 900; 45; 40500; 41
-Програміст:Борисенко; 1; 500; 25; 12500; 20
-Програміст:Романченко; 3; 700; 35; 24500; 32
-Програміст:Грищенко; 4; 900; 45; 40500; 39
-Програміст:Масленко; 2; 600; 30; 18000; 26
-Програміст:Павленко; 5; 800; 40; 32000; 35
-Програміст:Бондаренко; 4; 900; 45; 40500; 40
Керівник:Петренчук; 5; 800; 40; 32000
-Програміст:Сергієнко; 3; 700; 35; 24500; 31
-Програміст:Іваненко; 4; 900; 45; 40500; 40
-Програміст:Коваленко; 2; 600; 30; 18000; 25
-Програміст:Мельник; 3; 700; 35; 24500; 33
-Програміст:Бондаренко; 1; 500; 25; 12500; 20
-Програміст:Ткаченко; 5; 800; 40; 32000; 36
-Програміст:Шевченко; 4; 900; 45; 40500; 40
-Програміст:Ковальчук; 3; 700; 35; 24500; 31
-Програміст:Бойко; 5; 800; 40; 32000; 37
-Програміст:Грищенко; 4; 900; 45; 40500; 40
Керівник:Ковалюк; 3; 700; 35; 24500
-Програміст:Литвиненко; 2; 600; 30; 18000; 26
-Програміст:Сидоренко; 4; 900; 45; 40500; 40
-Програміст:Кузьменко; 1; 500; 25; 12500; 20
-Програміст:Ткаченко; 3; 700; 35; 24500; 32
-Програміст:Петренко; 4; 900; 45; 40500; 41
-Програміст:Іваненко; 5; 800; 40; 32000; 38
-Програміст:Бондаренко; 4; 900; 45; 40500; 40
-Програміст:Сергієнко; 3; 700; 35; 24500; 31
-Програміст:Мельник; 5; 800; 40; 32000; 37
-Програміст:Шевченко; 4; 900; 45; 40500; 40
Керівник:Лисиченко; 4; 900; 45; 40500
-Програміст:Масленко; 2; 600; 30; 18000; 28
-Програміст:Марченко; 3; 700; 35; 24500; 32
-Програміст:Левченко; 4; 900; 45; 40500; 39
-Програміст:Кравченко; 5; 800; 40; 32000; 36
-Програміст:Борисенко; 1; 500; 25; 12500; 20
-Програміст:Романченко; 3; 700; 35; 24500; 31
-Програміст:Грищенко; 4; 900; 45; 40500; 40
-Програміст:Мельник; 2; 600; 30; 18000; 26
-Програміст:Павленко; 5; 800; 40; 32000; 35
-Програміст:Бондаренко; 4; 900; 45; 40500; 40
Керівник:Ковальченко; 5; 800; 40; 32000
-Програміст:Сидоренко; 2; 600; 30; 18000; 27
-Програміст:Марченко; 3; 700; 35; 24500; 32
-Програміст:Левченко; 4; 900; 45; 40500; 39
-Програміст:Кравченко; 5; 800; 40; 32000; 36
-Програміст:Борисенко; 1; 500; 25; 12500; 20
-Програміст:Романченко; 3; 700; 35; 24500; 31
-Програміст:Грищенко; 4; 900; 45; 40500; 40
-Програміст:Мельник; 2; 600; 30; 18000; 26
-Програміст:Павленко; 5; 800; 40; 32000; 35
-Програміст:Бондаренко; 4; 900; 45; 40500; 40
